"category","unique_name","unique_id","format","sub_format","endianness"
"PARAMETER","ipv6_address",3805,"UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8","","<"
"PARAMETER","link_address",41807,"UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8","","<"
"PARAMETER","app_activate",8882,"UINT8","","<"
"PARAMETER","app_payload_length",64381,"UINT8","","<"
"PARAMETER","app_send_interval",37405,"UINT32","","<"
"MEASUREMENT","ipv6_stats",58840,"UINT;UINT;UINT;UINT;UINT;UINT;UINT;UINT;UINT;UINT","","<"
"MEASUREMENT","icmp_stats",3248,"UINT;UINT;UINT;UINT;UINT","","<"
"MEASUREMENT","tcp_stats",7917,"UINT;UINT;UINT;UINT;UINT;UINT;UINT;UINT;UINT","","<"
"MEASUREMENT","udp_stats",13014,"UINT;UINT;UINT;UINT","","<"
"MEASUREMENT","nd6_stats",6490,"UINT;UINT;UINT","","<"
"MEASUREMENT","app_stats",53022,"UINT32;UINT32;UINT32;UINT32","","<"
"EVENT","app_rx_event",58574,"UINT16;UINT16;UINT32;UINT32;UINT32;UINT16;UINT16;INT8;UINT8","","<"
